"","X","lon","lat","epiraindiff","epirhdiff","epitdiff","finfwh","finfwf","finfwd","difflower","diffupper","V12"
"7961",13116,-78.5113525390625,41.2000198364258,-4.86448,-3.39802999999999,0.731400000000001,0.7161675,0.6684606,-0.0477069,-23.75374,12.82842,0.00863042229340749
"7962",13117,-78.4596557617188,41.3044815063477,-3.10032,-3.32540999999999,0.69698,0.7052795,0.6559161,-0.0493633999999999,-24.9388,13.85613,0.00109881796860378
"7963",13118,-78.4078063964844,41.4089241027832,-4.73718,-3.17946000000001,0.602820000000001,0.7006484,0.6481587,-0.0524897,-25.94864,13.59688,0.00819970301141382
"7964",13119,-78.3557739257812,41.5133590698242,-7.97023,-2.92769,0.620179999999998,0.7029392,0.6490725,-0.0538666999999999,-26.45639,13.71,0.005793799506705
"7965",13120,-78.3035278320312,41.6177749633789,-10.12216,-2.79763,0.665480000000002,0.7098595,0.6529374,-0.0569221,-26.89176,14.02794,0.00355057675900383
"7966",13121,-78.2511291503906,41.7221832275391,-6.78318,-2.64641,0.777350000000002,0.7176311,0.6490226,-0.0686085,-27.51635,11.94058,0.0166984743892939
"7967",13122,-78.1985473632812,41.8265914916992,-7.41675,-2.68500999999999,0.738060000000001,0.720913,0.6476682,-0.0732448,-27.74211,11.32439,0.00635406234718516
"7968",13123,-78.145751953125,41.9309692382812,-6.99909,-2.57629,0.782859999999999,0.7215996,0.65256,-0.0690396,-27.36672,10.83099,0.00845960008290092
"7969",13124,-78.0928039550781,42.0353393554688,-6.00143,-2.57012,0.832320000000003,0.7202878,0.6546247,-0.0656631000000001,-27.90474,12.83872,0.042962519057788
"7970",13125,-78.0396728515625,42.1396903991699,-5.0582,-2.70367,0.763400000000001,0.7195679,0.6526103,-0.0669576000000001,-27.63332,12.43659,0.0368330059852937
"7971",13126,-77.986328125,42.2440338134766,-5.42315,-2.73795999999999,0.715619999999998,0.7111946,0.6540642,-0.0571304,-25.88022,13.35695,0.0234551490850023
"7972",13127,-77.9328002929688,42.3483467102051,-3.04436,-2.58817999999999,0.704630000000002,0.7111083,0.6488653,-0.062243,-28.47065,13.57871,0.0425138809532939
"7973",13128,-77.8790893554688,42.4526634216309,-3.16997,-2.41211,0.523230000000002,0.6921262,0.6532198,-0.0389064,-25.91431,19.08237,0.0234855329301027
"7974",13129,-77.8251953125,42.556957244873,-1.88346,-2.13625,0.499779999999998,0.6829037,0.6608205,-0.0220832,-24.19508,22.09983,0.0239422285862005
"7976",13131,-77.7168273925781,42.7654914855957,-3.81933,-2.19895,0.365860000000001,0.6654293,0.6718922,0.00646290000000005,-19.28347,26.88608,0.00123790645059785
"7979",13134,-77.5527954101562,43.0781517028809,1.17099,-0.146250000000002,0.31054,0.6263869,0.5823998,-0.0439870999999999,-28.33818,18.82251,0.0317382231549956
"8012",13228,-80.2191162109375,37.1907081604004,-1.20399,-1.6264,0.3809,0.6729465,0.5939723,-0.0789742,-33.14056,13.26369,0.035813533130991
"8018",13234,-79.9429321289062,37.8176460266113,-0.330740000000002,-1.60645,-0.0640499999999982,0.67077,0.5640572,-0.1067128,-39.270195,4.977922,0.00257675050998785
"8019",13235,-79.8963928222656,37.9221534729004,-0.700279999999999,-1.62586,-0.132909999999999,0.6997021,0.5794617,-0.1202404,-37.009163,2.065371,0.0156780047080076
"8020",13236,-79.8496704101562,38.0266609191895,-0.792629999999999,-1.51037000000001,-0.0994600000000005,0.7114349,0.577633,-0.1338019,-37.734212,1.458495,0.0288474997083128
"8021",13237,-79.8027954101562,38.1311721801758,-3.19636,-1.52488000000001,-0.0210699999999999,0.7311566,0.5977184,-0.1334382,-34.330922,1.232512,0.00665676165938578
"8022",13238,-79.7557678222656,38.2356872558594,-5.86284,-1.67174999999999,0.464530000000002,0.7493688,0.6490691,-0.1002997,-28.889647,2.547519,0.00881425040579842
"8023",13239,-79.7085876464844,38.3401870727539,-6.76363,-2.05093000000001,0.497280000000002,0.7321771,0.6503954,-0.0817817000000001,-27.61146,6.97101,0.00182079102099664
"8024",13240,-79.6612548828125,38.4447174072266,-5.55406,-2.27036,0.880420000000001,0.7271638,0.6501032,-0.0770606,-28.340523,8.735742,0.0126714642267984
"8025",13241,-79.61376953125,38.5492286682129,-4.2926,-2.51503000000001,0.88297,0.7597979,0.6365963,-0.1232016,-32.577494,1.648338,0.0254333744131898
"8028",13244,-79.4703063964844,38.8627777099609,-6.02755,-2.92403,0.63799,0.7150957,0.6455123,-0.0695834,-26.708231,9.765196,0.0184632844466108
"8029",13245,-79.4221496582031,38.9672889709473,-6.16172,-2.90671,0.77952,0.7474245,0.6510548,-0.0963697,-29.373493,5.300933,0.00842180829589978
"8032",13248,-79.2767639160156,39.2808265686035,-10.83207,-3.55198,0.678200000000002,0.7194254,0.6206245,-0.0988009,-30.6318,7.04987,0.0131660407936138
"8033",13249,-79.2279663085938,39.3853340148926,-10.82528,-3.28201,0.56959,0.7064495,0.5828092,-0.1236403,-35.383276,5.910636,0.010584902444414
"8034",13250,-79.1790161132812,39.4898300170898,-10.84841,-3.31086000000001,0.64059,0.6907975,0.6124498,-0.0783476999999999,-29.53488,13.07223,0.000996702455701381
"8035",13251,-79.1298828125,39.5943412780762,-9.18889,-3.5813,0.64236,0.7071153,0.6336402,-0.0734751,-27.86874,12.82206,0.00878986179070296
"8036",13252,-79.0806274414062,39.6988372802734,-7.61385,-3.44271999999999,0.753540000000001,0.7167985,0.6373549,-0.0794436000000001,-29.67226,12.30237,0.00344876205789291
"8037",13253,-79.0311584472656,39.8033256530762,-8.18846,-3.54298,0.663679999999999,0.7281454,0.6408464,-0.087299,-29.372786,9.133319,0.00665060736429979
"8038",13254,-78.9815368652344,39.9078140258789,-9.26494,-3.47763,0.625679999999999,0.7589564,0.6379395,-0.1210169,-32.504147,3.361404,0.0103640788395936
"8045",13261,-78.6293640136719,40.6390495300293,-3.83002,-3.69520999999999,0.658459999999998,0.7379871,0.6670066,-0.0709805,-26.270951,7.529362,0.00628906054150491
"8046",13262,-78.578369140625,40.7434844970703,-4.55722,-3.71751999999999,0.56223,0.7330399,0.6684718,-0.0645681,-24.920095,8.822249,0.00528278202540378
"8047",13263,-78.5271911621094,40.847900390625,-4.04003,-3.53255,0.539380000000001,0.7246706,0.6576232,-0.0670474000000001,-25.948383,9.770154,0.00511334304410838
"8048",13264,-78.475830078125,40.9523162841797,-2.68276,-3.37003,0.56945,0.7124911,0.6629042,-0.0495869,-24.32041,12.33483,0.0068056369739935
"8049",13265,-78.42431640625,41.0567169189453,-5.38359,-3.06256999999999,0.64601,0.7075557,0.6629783,-0.0445774,-24.08485,14.22169,0.00658347659080505
"8050",13266,-78.3726196289062,41.1611213684082,-5.56189,-3.33749,0.68694,0.7157254,0.6569105,-0.0588149,-26.23937,12.09439,0.00209282404889422
"8051",13267,-78.3207092285156,41.265495300293,-4.58166,-3.44308000000001,0.735949999999999,0.708939,0.6598757,-0.0490633,-24.87239,14.10854,0.0100597285480859
"8052",13268,-78.2686462402344,41.3698692321777,-3.96257,-3.17702,0.716570000000001,0.6961962,0.6590014,-0.0371948000000001,-23.36785,15.65377,0.00402532670440081
"8053",13269,-78.2164001464844,41.474235534668,-6.39225,-2.9353,0.54786,0.6963134,0.6615377,-0.0347757,-22.35787,14.55959,0.00383088279870236
"8054",13270,-78.1639404296875,41.5785789489746,-10.57301,-2.62609,0.572960000000002,0.7124303,0.6560541,-0.0563762,-26.06997,13.53357,0.0114505810710952
"8055",13271,-78.111328125,41.6829147338867,-7.7969,-2.72845000000001,0.75404,0.7163284,0.6528784,-0.06345,-26.92739,12.78386,0.00637205868380164
"8056",13272,-78.0585327148438,41.7872352600098,-6.81939,-2.67603000000001,0.830249999999999,0.733605,0.6524084,-0.0811966,-29.00124,10.01574,0.00702682063988647
"8057",13273,-78.0055541992188,41.891544342041,-5.27200000000001,-2.79443999999999,0.834099999999999,0.7341625,0.6567887,-0.0773738,-28.23844,10.44628,0.000138401850897196
"8058",13274,-77.952392578125,41.9958419799805,-5.36844,-2.81225999999999,0.808879999999998,0.7303674,0.6591152,-0.0712522,-28.02302,11.10552,0.0245288594705997
"8059",13275,-77.8990478515625,42.1001167297363,-5.06512,-2.81565999999999,0.81043,0.7213994,0.6597305,-0.0616689,-26.94817,13.324,0.00597366096940988
