,X,lon,lat,hist25,fut25,defo25,V12
8793,14438,-78.6963501,37.93424988,97.73630696,98.83582896,1.099522002,0.009077124
8794,14439,-78.64764404,38.03819656,97.85400233,98.95708125,1.103078917,0.035276243
8795,14440,-78.5987854,38.14214325,97.93565188,98.98822199,1.052570111,0.017233229
8796,14441,-78.54974365,38.24609375,97.06241367,98.93374018,1.871326505,0.006830519
8797,14442,-78.50054932,38.35003281,92.78301767,98.2482018,5.465184131,0.003326724
8798,14443,-78.45120239,38.45398331,88.34731361,97.59456147,9.247247861,0.007012853
8799,14444,-78.40167236,38.55792236,89.86321399,97.7727971,7.909583105,0.004974119
8800,14445,-78.35198975,38.6618576,93.06689692,98.51261924,5.445722318,0.005014507
8801,14446,-78.30215454,38.76581573,95.20691335,98.68444725,3.4775339,0.007258567
8802,14447,-78.25213623,38.86974335,98.06843225,99.11288388,1.044451632,0.004051484
8803,14448,-78.20196533,38.97367859,98.83738673,99.18832841,0.350941672,0.02131092
8804,14449,-78.15161133,39.0776062,98.88678983,99.1889417,0.302151868,0.005511723
8805,14450,-78.10107422,39.18153381,98.91917571,99.19808207,0.278906354,0.005095002
8806,14451,-78.05038452,39.28546143,98.84042453,99.25403793,0.413613399,0.027098891
8807,14452,-77.99951172,39.38937759,98.85869497,99.25997744,0.401282463,0.006412712
8808,14453,-77.94848633,39.49328613,98.90073562,99.24113238,0.340396758,0.00466322
8809,14454,-77.89727783,39.59718704,98.83555609,99.20251076,0.366954672,0.006217372
8810,14455,-77.84591675,39.70108795,98.30339944,99.16566611,0.862266665,0.005186624
8812,14457,-77.74264526,39.90886688,95.91130852,99.02803564,3.116727127,0.004676956
8813,14458,-77.69073486,40.01274872,95.03108698,99.14145604,4.110369057,0.008558749
8814,14459,-77.63867188,40.1166153,93.75244125,99.17859497,5.426153714,0.006033661
8815,14460,-77.58642578,40.22047806,91.28389534,99.00576231,7.72186697,0.00161829
8816,14461,-77.53399658,40.32432556,90.98283241,99.03557158,8.052739166,0.008473314
8817,14462,-77.48138428,40.42816925,92.78416238,99.2108522,6.426689818,0.006691301
8818,14463,-77.42858887,40.53201294,93.98228862,99.25393213,5.271643516,0.002981514
8819,14464,-77.37561035,40.63583374,92.72018292,99.15647512,6.436292196,0.006209167
8820,14465,-77.32247925,40.7396431,91.67190266,99.06081177,7.388909115,0.004192704
8821,14466,-77.26913452,40.84344101,91.24071862,99.05748958,7.816770952,0.008208705
8822,14467,-77.21563721,40.94723511,90.68778562,98.66470282,7.976917198,0.00789051
8823,14468,-77.16192627,41.05101776,91.93772529,98.87454713,6.936821847,0.002962947
8824,14469,-77.10803223,41.15478516,94.40514639,99.1367349,4.731588518,0.005700388
8825,14470,-77.05395508,41.25852585,95.81140445,99.14259209,3.331187638,0.002471769
8826,14471,-76.99969482,41.36227798,95.83002329,98.86908691,3.039063625,0.003087988
8827,14472,-76.94525146,41.46599197,94.74629501,97.53342062,2.787125609,0.007216025
8828,14473,-76.890625,41.56970596,92.11107101,94.80635955,2.695288534,0.025931567
8829,14474,-76.83581543,41.67340088,93.58950205,95.83981455,2.250312505,0.010846921
