,X,lon,lat,epiraindiff,epirhdiff,epitdiff,finfmh,finfmf,finfmd,V12
3329,4725,-86.1965332,44.05411148,3.69157,-3.68451,1.36647,0.5346316,0.3541632,-0.1804684,0.006876067
3330,4726,-86.15652466,44.16209412,4.90595,-3.81879,1.37884,0.5229717,0.3424929,-0.1804788,0.013677841
3331,4727,-86.11636353,44.27005386,4.58791,-3.75218,1.39923,0.5332885,0.3505369,-0.1827516,0.011316305
3332,4728,-86.0760498,44.37802124,3.12658,-3.65212,1.35566,0.5661076,0.376576,-0.1895316,0.006893205
3333,4729,-86.0355835,44.48596191,5.39464,-3.61779,1.34917,0.5699186,0.3798288,-0.1900898,0.009939201
3335,4731,-85.9541626,44.70182419,16.45488,-3.37667,1.3427,0.5895615,0.3993044,-0.1902571,0.047040176
3425,4869,-86.28488159,43.37762451,8.3102,-3.59562,1.1677,0.5176151,0.338589,-0.1790261,0.009927742
3426,4870,-86.2454834,43.48558807,4.10813,-3.69208,1.24325,0.5141775,0.3283003,-0.1858772,0.004642016
3427,4871,-86.20596313,43.59355164,7.5903,-3.65237,1.30447,0.5332533,0.3429437,-0.1903096,0.031584146
3428,4872,-86.16629028,43.70149612,7.71504,-3.65169,1.30442,0.5310866,0.347888,-0.1831986,0.034159186
3429,4873,-86.12646484,43.8094368,7.27551,-3.71278,1.37119,0.521167,0.3341218,-0.1870452,0.004869303
3430,4874,-86.08648682,43.91738129,5.41416,-3.71956,1.42751,0.5228392,0.337046,-0.1857932,0.008933821
3431,4875,-86.04638672,44.02531433,3.92126,-3.96995,1.3712,0.5297059,0.3449337,-0.1847722,0.006077569
3432,4876,-86.00610352,44.1332283,4.97571,-3.91486,1.39434,0.5434771,0.3493752,-0.1941019,0.004842801
3433,4877,-85.96566772,44.24113846,3.40196,-3.73613,1.40825,0.5431614,0.3502358,-0.1929256,0.010870092
3434,4878,-85.92507935,44.34904099,2.76822,-3.67671,1.32407,0.5560212,0.360164,-0.1958572,0.004437001
3435,4879,-85.88433838,44.45693207,3.79996,-3.51788,1.29084,0.5820011,0.3940252,-0.1879759,0.002092168
3437,4881,-85.8024292,44.67268372,8.90683,-3.30463,1.27066,0.5567359,0.3999938,-0.1567421,0.008089885
3526,5019,-86.13641357,43.34895325,2.80221,-3.70258,1.16556,0.4946118,0.3192145,-0.1753973,0.005913808
3527,5020,-86.09677124,43.45686722,1.83124,-3.84687,1.25832,0.4962091,0.3275494,-0.1686597,0.00702783
3529,5022,-86.01705933,43.67266083,5.87581,-3.39265,1.35752,0.558232,0.368953,-0.189279,0.011814472
3530,5023,-85.97695923,43.7805481,4.62703,-3.75037,1.38583,0.5170764,0.3354952,-0.1815812,0.007305782
3531,5024,-85.93673706,43.88842773,5.78027,-3.75287,1.39624,0.5338852,0.3378349,-0.1960503,0.008004027
3532,5025,-85.8963623,43.99629974,6.62499,-3.72362,1.40106,0.5550133,0.3516414,-0.2033719,0.003005426
3533,5026,-85.85580444,44.10416412,3.84842,-3.92578,1.31175,0.5554904,0.35484,-0.2006504,0.005174962
3534,5027,-85.81512451,44.21202087,2.74087,-3.80417,1.29908,0.5760553,0.3682528,-0.2078025,0.006369234
3535,5028,-85.77429199,44.31987,2.18056,-3.66647,1.26646,0.5873029,0.3869058,-0.2003971,0.005317368
